image_file,item_number,item_name,quantity,unit_price,total_price
receipt_00000.jpg,1,TICKET CP,2,30.0,60.0
receipt_00002.jpg,1,JASMINE MT,1,24000.0,24000.0
receipt_00002.jpg,2,COCONUT JELLY,1,4000.0,4000.0
receipt_00003.jpg,1,DONAT GULA,1,11000.0,11000.0
receipt_00004.jpg,1,ICE BLACKCOFFE,2,41000.0,82000.0
receipt_00004.jpg,2,AVOCADO COFFEE,1,61000.0,61000.0
receipt_00004.jpg,3,CHICKEN KATSU FF,1,51000.0,51000.0
receipt_00005.jpg,1,ITEMS,1,28.182,28.182
receipt_00006.jpg,1,EGG TART,1,13000.0,13000.0
receipt_00006.jpg,2,CHOCO CUSTARD PASTRY,2,12000.0,24000.0
receipt_00006.jpg,3,REDBEAN BREAD,1,9000.0,9000.0
receipt_00007.jpg,1,ADD CHICKEN BOX,1,100000.0,100000.0
receipt_00008.jpg,1,[REG] BLACK SAKURA,1,45455.0,45455.0
receipt_00008.jpg,2,COOKIE DOH SAUCES,1,0.0,0.0
receipt_00008.jpg,3,NATA DE COCO,1,0.0,0.0
receipt_00009.jpg,1,Bumbu Kaldu Ayam,1,36000.0,36000.0
receipt_00010.jpg,1,CINNAMON SUGAR,1,17000.0,17000.0
